Subject,2 Hz Cz,Std Skills
13,4.23,-1.06
14,5.71,-1.42
15,6.03,-1.06
16,4.44,0.78
17,7.20,-2.16
18,6.20,-0.69
1,7.52,-0.69
2,3.94,-0.69
3,3.70,-0.69
4,6.80,0.78
5,6.06,0.78
6,8.10,0.42
7,6.41,-0.32
8,5.49,0.78
9,3.46,1.52
10,4.30,0.78
11,4.98,0.78
12,5.45,0.05
13,4.03,-0.32
14,4.71,-1.06
15,6.19,-0.69
16,4.64,1.52
17,6.96,-1.42
18,4.69,-0.69
1,6.46,-0.69
2,3.96,-1.42
3,4.09,0.05
4,5.44,0.78
5,6.35,0.78
6,5.86,0.78
7,5.88,-0.69
8,5.78,1.52
9,3.59,1.52
10,4.50,1.52
11,5.07,0.78
12,5.12,0.78
13,5.16,0.78
14,5.49,-1.06
15,6.81,0.78
16,4.97,1.52
17,8.52,-1.79
18,5.76,-0.32
1,6.94,0.63
2,3.70,-0.15
3,4.51,-0.15
4,4.98,-0.15
5,6.75,-0.15
6,7.30,-0.94
7,6.02,-1.73
8,5.24,0.63
9,3.96,1.03
10,4.88,0.63
11,5.06,-0.15
12,5.03,0.63
13,4.23,-0.94
14,5.71,-0.55
15,6.03,-1.73
16,4.44,0.63
17,7.20,-2.51
18,6.20,-0.15
1,7.52,-0.15
2,3.94,-0.15
3,3.70,-0.15
4,6.80,0.24
5,6.06,0.63
6,8.10,-0.55
7,6.41,-0.55
8,5.49,1.42
9,3.46,1.42
10,4.30,-0.15
11,4.98,0.24
12,5.45,0.63
13,4.03,-0.55
14,4.71,-1.73
15,6.19,-1.73
16,4.64,1.03
17,6.96,-1.73
18,4.69,0.63
1,6.46,0.63
2,3.96,-0.15
3,4.09,0.24
4,5.44,0.63
5,6.35,0.63
6,5.86,0.63
7,5.88,-0.55
8,5.78,1.42
9,3.59,1.42
10,4.50,1.42
11,5.07,0.63
12,5.12,-0.15
13,5.16,0.63
14,5.49,0.63
15,6.81,-1.73
16,4.97,1.42
17,8.52,-2.12
18,5.76,0.63
1,6.94,-0.97
2,3.70,-0.97
3,4.51,0.60
4,4.98,-0.97
5,6.75,-0.45
6,7.30,-0.97
7,6.02,-0.45
8,5.24,1.39
9,3.96,1.13
10,4.88,0.86
11,5.06,-0.45
12,5.03,0.60
13,4.23,-0.45
14,5.71,-0.97
15,6.03,-0.97
16,4.44,1.13
17,7.20,-0.97
18,6.20,-0.45
1,7.52,-0.97
2,3.94,-0.97
3,3.70,0.86
4,6.80,-0.71
5,6.06,-0.97
6,8.10,-0.97
7,6.41,-0.97
8,5.49,1.65
9,3.46,1.65
10,4.30,-0.71
11,4.98,1.13
12,5.45,0.08
13,4.03,-0.45
14,4.71,-0.97
15,6.19,-0.97
16,4.64,1.39
17,6.96,-0.97
18,4.69,1.13
1,6.46,-0.97
2,3.96,-0.97
3,4.09,0.34
4,5.44,0.60
5,6.35,0.60
6,5.86,1.39
7,5.88,-0.97
8,5.78,1.39
9,3.59,1.65
10,4.50,1.65
11,5.07,1.13
12,5.12,0.34
13,5.16,0.86
14,5.49,-0.97
15,6.81,-0.45
16,4.97,1.39
17,8.52,-0.97
18,5.76,-0.97
